Ordre;Region;Famille;Type;Caractère;PubMed;Femelle;M.F;No;BothM
182;SSC2:1;Meat_and_Carcass_Association;traitType=fatness;trait=Abdominal fat weight;25885760;0;0;1;0
156;SSC17:60;Meat_and_Carcass_Association;traitType=pH;trait=pH 48 hr post-mortem (loin);18717966;0;0;1;0
32;SSC1:253;Meat_and_Carcass_Association;traitType=pH;trait=pH 45 minutes post mortem;25678226;0;0;1;0
112;SSC16:69;Meat_and_Carcass_Association;traitType=pH;trait=45 min-24 h pH decline;25962760;0;0;1;0
307;SSC6:72;Meat_and_Carcass_Association;traitType=pH;trait=pH 45 minutes post mortem;24643240;0;0;1;0
62;SSC10:62;Production_Association;traitType=feedintake;trait=feed intake per feeding;23977060;0;0;1;0
127;SSC17:1;Production_Association;traitType=feedintake;trait=Number of visits to feeder per day;23977060;0;0;1;0
7;SSC1:110;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;28728355;0;0;1;0
16;SSC1:16;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;28728355;0;0;1;0
70;SSC11:51;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;28728355;0;0;1;0
95;SSC13:191;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;29522525;0;0;1;0
100;SSC13:99;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;31316554;0;0;1;0
126;SSC17:1;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;30381738;0;0;1;0
139;SSC17:43;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;28728355;0;0;1;0
167;SSC18:10;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;28728355;0;0;1;0
241;SSC3:124;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;28728355;0;0;1;0
246;SSC3:3;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;26578072;0;0;1;0
262;SSC4:18;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;21846497;0;0;1;0
285;SSC6:13;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;28728355;0;0;1;0
304;SSC6:72;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;22688438;0;0;1;0
328;SSC7:18;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;31316554;0;0;1;0
338;SSC7:85;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;28728355;0;0;1;0
354;SSC8:124;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;23724019;0;0;1;0
389;SSC9:19;Meat_and_Carcass_Association;traitType=fatness;trait=Intramuscular fat content;30381738;0;0;1;0
209;SSC2:145;Production_Association;traitType=Growth;trait=Body weight (46 days);25885760;0;0;1;0
114;SSC16:69;Meat_and_Carcass_Association;traitType=texture;trait=Drip loss;26580276;0;0;1;0
157;SSC17:60;Meat_and_Carcass_Association;traitType=texture;trait=Drip loss;18717966;0;0;1;0
205;SSC2:145;Meat_and_Carcass_Association;traitType=texture;trait=Drip loss;23063408;0;0;1;0
308;SSC6:72;Meat_and_Carcass_Association;traitType=texture;trait=Drip loss;24605821;0;0;1;0
130;SSC17:1;Reproduction_Association;traitType=Littertraits;trait=Number of mummified pigs;31362194;5;0;0;0
13;SSC1:110;Reproduction_Association;traitType=Reproductivetraits;trait=Sperm motility;25459079;0;0;1;0
226;SSC2:151;Reproduction_Association;traitType=Reproductivetraits;trait=Sperm motility;26425933;0;0;1;0
42;SSC1:95;Meat_and_Carcass_Association;traitType=Anatomy;trait=Carcass length;29672875;0;0;1;0
69;SSC11:51;Meat_and_Carcass_Association;traitType=Anatomy;trait=Carcass length;27094516;0;0;1;0
258;SSC4:18;Meat_and_Carcass_Association;traitType=Anatomy;trait=Carcass length;27473603;0;0;1;0
181;SSC2:1;Meat_and_Carcass_Association;traitType=Anatomy;trait=Meat to fat ratio;30308042;0;0;1;0
